"","V1","V2"
"154","ENSG00000006712.10","PAF1"
"155","ENSG00000006715.11","VPS41"
"156","ENSG00000006740.12","ARHGAP44"
"157","ENSG00000006744.14","ELAC2"
"158","ENSG00000006747.10","SCIN"
"159","ENSG00000006756.11","ARSD"
"160","ENSG00000006757.7","PNPLA4"
"161","ENSG00000006788.8","MYH13"
"162","ENSG00000006831.9","ADIPOR2"
"163","ENSG00000006837.7","CDKL3"
"164","ENSG00000007001.8","UPP2"
"165","ENSG00000007038.6","PRSS21"
"166","ENSG00000007047.10","MARK4"
"167","ENSG00000007062.7","PROM1"
"168","ENSG00000007080.6","CCDC124"
"169","ENSG00000007129.13","CEACAM21"
"170","ENSG00000007168.8","PAFAH1B1"
"171","ENSG00000007171.12","NOS2"
"172","ENSG00000007174.13","DNAH9"
"173","ENSG00000007202.10","KIAA0100"
"174","ENSG00000007216.10","SLC13A2"
"175","ENSG00000007237.14","GAS7"
"176","ENSG00000007255.6","TRAPPC6A"
"177","ENSG00000007264.9","MATK"
"178","ENSG00000007306.10","CEACAM7"
"179","ENSG00000007312.8","CD79B"
"180","ENSG00000007314.7","SCN4A"
"181","ENSG00000007341.14","ST7L"
"182","ENSG00000007350.12","TKTL1"
"183","ENSG00000007372.16","PAX6"
"184","ENSG00000007376.3","RPUSD1"
"185","ENSG00000007384.11","RHBDF1"
"186","ENSG00000007392.12","LUC7L"
"187","ENSG00000007402.7","CACNA2D2"
"188","ENSG00000007516.9","BAIAP3"
"189","ENSG00000007520.3","TSR3"
"190","ENSG00000007541.10","PIGQ"
"191","ENSG00000007545.11","CRAMP1L"
"192","ENSG00000007866.14","TEAD3"
"193","ENSG00000007908.11","SELE"
"194","ENSG00000007923.11","DNAJC11"
"195","ENSG00000007933.8","FMO3"
"196","ENSG00000007944.10","MYLIP"
"197","ENSG00000007952.13","NOX1"
"198","ENSG00000007968.6","E2F2"
"199","ENSG00000008018.8","PSMB1"
"200","ENSG00000008056.8","SYN1"
"201","ENSG00000008083.9","JARID2"
"202","ENSG00000008086.6","CDKL5"
"203","ENSG00000008118.5","CAMK1G"
"204","ENSG00000008128.18","CDK11A"
"205","ENSG00000008130.11","NADK"
"206","ENSG00000008196.8","TFAP2B"
"207","ENSG00000008197.4","TFAP2D"
"208","ENSG00000008226.15","DLEC1"
"209","ENSG00000008256.11","CYTH3"
"210","ENSG00000008277.10","ADAM22"
"211","ENSG00000008282.3","SYPL1"
"212","ENSG00000008283.11","CYB561"
"213","ENSG00000008294.16","SPAG9"
"214","ENSG00000008300.10","CELSR3"
"215","ENSG00000008311.10","AASS"
"216","ENSG00000008323.11","PLEKHG6"
"217","ENSG00000008324.6","SS18L2"
"218","ENSG00000008382.11","MPND"
"219","ENSG00000008394.8","MGST1"
"220","ENSG00000008405.7","CRY1"
"221","ENSG00000008438.4","PGLYRP1"
"222","ENSG00000008441.12","NFIX"
"223","ENSG00000008513.10","ST3GAL1"
"224","ENSG00000008516.12","MMP25"
"225","ENSG00000008517.12","IL32"
"226","ENSG00000008710.13","PKD1"
"227","ENSG00000008735.10","MAPK8IP2"
"228","ENSG00000008838.13","MED24"
"229","ENSG00000008853.12","RHOBTB2"
"230","ENSG00000008869.7","HEATR5B"
"231","ENSG00000008952.12","SEC62"
"232","ENSG00000008988.5","RPS20"
"233","ENSG00000009307.11","CSDE1"
"234","ENSG00000009335.13","UBE3C"
"235","ENSG00000009413.11","REV3L"
"236","ENSG00000009694.9","TENM1"
"237","ENSG00000009709.7","PAX7"
"238","ENSG00000009724.12","MASP2"
"239","ENSG00000009765.10","IYD"
"240","ENSG00000009780.11","FAM76A"
"241","ENSG00000009790.10","TRAF3IP3"
"242","ENSG00000009830.7","POMT2"
"243","ENSG00000009844.11","VTA1"
"244","ENSG00000009950.11","MLXIPL"
"245","ENSG00000009954.6","BAZ1B"
"246","ENSG00000010017.9","RANBP9"
"247","ENSG00000010030.9","ETV7"
"248","ENSG00000010072.11","SPRTN"
"249","ENSG00000010165.15","METTL13"
"250","ENSG00000010219.9","DYRK4"
"251","ENSG00000010244.12","ZNF207"
"252","ENSG00000010256.6","UQCRC1"
"253","ENSG00000010270.9","STARD3NL"
"254","ENSG00000010278.7","CD9"
"255","ENSG00000010282.10","HHATL"
"256","ENSG00000010292.8","NCAPD2"
"257","ENSG00000010295.15","IFFO1"
"258","ENSG00000010310.4","GIPR"
"259","ENSG00000010318.15","PHF7"
"260","ENSG00000010319.2","SEMA3G"
"261","ENSG00000010322.11","NISCH"
"262","ENSG00000010327.6","STAB1"
"263","ENSG00000010361.9","FUZ"
"264","ENSG00000010379.11","SLC6A13"
"265","ENSG00000010404.13","IDS"
"266","ENSG00000010438.12","PRSS3"
"267","ENSG00000010539.7","ZNF200"
"268","ENSG00000010610.5","CD4"
"269","ENSG00000010626.10","LRRC23"
"270","ENSG00000010671.11","BTK"
"271","ENSG00000010704.14","HFE"
"272","ENSG00000010803.12","SCMH1"
"273","ENSG00000010810.13","FYN"
"274","ENSG00000010818.4","HIVEP2"
"275","ENSG00000010932.11","FMO1"
"276","ENSG00000011007.8","TCEB3"
"277","ENSG00000011009.6","LYPLA2"
"278","ENSG00000011021.17","CLCN6"
"279","ENSG00000011028.9","MRC2"
"280","ENSG00000011083.4","SLC6A7"
"281","ENSG00000011105.7","TSPAN9"
"282","ENSG00000011114.10","BTBD7"
"283","ENSG00000011132.7","APBA3"
"284","ENSG00000011143.12","MKS1"
"285","ENSG00000011198.3","ABHD5"
"286","ENSG00000011201.6","KAL1"
"287","ENSG00000011243.13","AKAP8L"
"288","ENSG00000011258.11","MBTD1"
"289","ENSG00000011260.9","UTP18"
"290","ENSG00000011275.14","RNF216"
"291","ENSG00000011295.11","TTC19"
"292","ENSG00000011304.12","PTBP1"
"293","ENSG00000011332.15","DPF1"
"294","ENSG00000011347.5","SYT7"
"295","ENSG00000011376.5","LARS2"
"296","ENSG00000011405.9","PIK3C2A"
"297","ENSG00000011422.7","PLAUR"
"298","ENSG00000011426.6","ANLN"
"299","ENSG00000011451.13","WIZ"
"300","ENSG00000011454.12","RABGAP1"
"301","ENSG00000011465.12","DCN"
"302","ENSG00000011478.7","QPCTL"
"303","ENSG00000011485.10","PPP5C"
"304","ENSG00000011523.9","CEP68"
"305","ENSG00000011566.10","MAP4K3"
"306","ENSG00000011590.9","ZBTB32"
"307","ENSG00000011600.7","TYROBP"
"308","ENSG00000011638.6","TMEM159"
"309","ENSG00000011677.8","GABRA3"
"310","ENSG00000012048.15","BRCA1"
"311","ENSG00000012061.11","ERCC1"
"312","ENSG00000012124.10","CD22"
"313","ENSG00000012174.7","MBTPS2"
"314","ENSG00000012211.8","PRICKLE3"
"315","ENSG00000012223.8","LTF"
"316","ENSG00000012232.4","EXTL3"
"317","ENSG00000012504.9","NR1H4"
"318","ENSG00000012660.9","ELOVL5"
"319","ENSG00000012779.6","ALOX5"
"320","ENSG00000012817.11","KDM5D"
"321","ENSG00000012822.11","CALCOCO1"
"322","ENSG00000012963.9","UBR7"
"323","ENSG00000012983.7","MAP4K5"
"324","ENSG00000013016.10","EHD3"
"325","ENSG00000013275.3","PSMC4"
"326","ENSG00000013288.4","MAN2B2"
"327","ENSG00000013293.5","SLC7A14"
"328","ENSG00000013297.6","CLDN11"
"329","ENSG00000013306.11","SLC25A39"
"330","ENSG00000013364.14","MVP"
"331","ENSG00000013374.11","NUB1"
"332","ENSG00000013375.11","PGM3"
"333","ENSG00000013392.6","RWDD2A"
"334","ENSG00000013441.11","CLK1"
"335","ENSG00000013503.5","POLR3B"
"336","ENSG00000013523.5","ANGEL1"
"337","ENSG00000013561.13","RNF14"
"338","ENSG00000013563.9","DNASE1L1"
"339","ENSG00000013573.12","DDX11"
"340","ENSG00000013583.4","HEBP1"
"341","ENSG00000013588.5","GPRC5A"
"342","ENSG00000013619.9","MAMLD1"
"343","ENSG00000013725.10","CD6"
"344","ENSG00000013810.14","TACC3"
"345","ENSG00000014123.9","UFL1"
"346","ENSG00000014138.4","POLA2"
"347","ENSG00000014164.6","ZC3H3"
"348","ENSG00000014216.11","CAPN1"
"349","ENSG00000014257.11","ACPP"
"350","ENSG00000014641.13","MDH1"
"351","ENSG00000014824.9","SLC30A9"
"352","ENSG00000014914.15","MTMR11"
"353","ENSG00000014919.8","COX15"
"354","ENSG00000015133.14","CCDC88C"
"355","ENSG00000015153.10","YAF2"
"356","ENSG00000015171.14","ZMYND11"
"357","ENSG00000015285.6","WAS"
"358","ENSG00000015413.5","DPEP1"
"359","ENSG00000015475.14","BID"
"360","ENSG00000015479.13","MATR3"
"361","ENSG00000015520.10","NPC1L1"
"362","ENSG00000015532.5","XYLT2"
"363","ENSG00000015568.8","RGPD5"
"364","ENSG00000015592.12","STMN4"
"365","ENSG00000015676.13","NUDCD3"
"366","ENSG00000016082.10","ISL1"
"367","ENSG00000016391.6","CHDH"
"368","ENSG00000016402.8","IL20RA"
"369","ENSG00000016490.11","CLCA1"
"370","ENSG00000016602.8","CLCA4"
"371","ENSG00000016864.12","GLT8D1"
"372","ENSG00000017260.15","ATP2C1"
"373","ENSG00000017373.11","SRCIN1"
"374","ENSG00000017427.11","IGF1"
"375","ENSG00000017483.10","SLC38A5"
"376","ENSG00000017621.11","MAGIX"
"377","ENSG00000017797.7","RALBP1"
"378","ENSG00000018189.8","RUFY3"
"379","ENSG00000018236.10","CNTN1"
"380","ENSG00000018280.12","SLC11A1"
"381","ENSG00000018408.10","WWTR1"
"382","ENSG00000018510.8","AGPS"
"383","ENSG00000018610.9","CXorf56"
"384","ENSG00000018625.10","ATP1A2"
"385","ENSG00000018699.7","TTC27"
"386","ENSG00000018869.12","ZNF582"
"387","ENSG00000019102.7","VSIG2"
"388","ENSG00000019144.12","PHLDB1"
"389","ENSG00000019169.9","MARCO"
"390","ENSG00000019186.5","CYP24A1"
"391","ENSG00000019485.8","PRDM11"
"392","ENSG00000019505.3","SYT13"
"393","ENSG00000019549.4","SNAI2"
"394","ENSG00000019582.10","CD74"
"395","ENSG00000019991.11","HGF"
"396","ENSG00000019995.6","ZRANB1"
"397","ENSG00000020129.11","NCDN"
"398","ENSG00000020181.13","GPR124"
"399","ENSG00000020256.15","ZFP64"
"400","ENSG00000020426.6","MNAT1"
"401","ENSG00000020577.9","SAMD4A"
"402","ENSG00000020633.14","RUNX3"
"403","ENSG00000020922.8","MRE11A"
"404","ENSG00000021300.9","PLEKHB1"
"405","ENSG00000021355.8","SERPINB1"
"406","ENSG00000021461.12","CYP3A43"
"407","ENSG00000021488.8","SLC7A9"
"408","ENSG00000021574.7","SPAST"
"409","ENSG00000021645.13","NRXN3"
"410","ENSG00000021762.15","OSBPL5"
"411","ENSG00000021776.6","AQR"
"412","ENSG00000021826.10","CPS1"
"413","ENSG00000021852.8","C8B"
"414","ENSG00000022267.12","FHL1"
"415","ENSG00000022277.8","RTFDC1"
"416","ENSG00000022355.10","GABRA1"
"417","ENSG00000022556.11","NLRP2"
"418","ENSG00000022567.5","SLC45A4"
"419","ENSG00000022840.11","RNF10"
"420","ENSG00000022976.11","ZNF839"
"421","ENSG00000023041.7","ZDHHC6"
"422","ENSG00000023171.10","GRAMD1B"
"423","ENSG00000023191.12","RNH1"
"424","ENSG00000023228.9","NDUFS1"
"425","ENSG00000023287.8","RB1CC1"
"426","ENSG00000023318.7","ERP44"
"427","ENSG00000023330.10","ALAS1"
"428","ENSG00000023445.9","BIRC3"
"429","ENSG00000023516.7","AKAP11"
"430","ENSG00000023572.4","GLRX2"
"431","ENSG00000023608.4","SNAPC1"
"432","ENSG00000023697.8","DERA"
"433","ENSG00000023734.6","STRAP"
"434","ENSG00000023839.6","ABCC2"
"435","ENSG00000023892.9","DEF6"
"436","ENSG00000023902.9","PLEKHO1"
"437","ENSG00000023909.5","GCLM"
"438","ENSG00000024048.6","UBR2"
"439","ENSG00000024422.7","EHD2"
"440","ENSG00000024526.12","DEPDC1"
"441","ENSG00000024862.12","CCDC28A"
"442","ENSG00000025039.10","RRAGD"
"443","ENSG00000025156.8","HSF2"
"444","ENSG00000025293.11","PHF20"
"445","ENSG00000025423.7","HSD17B6"
"446","ENSG00000025434.14","NR1H3"
"447","ENSG00000025708.8","TYMP"
"448","ENSG00000025770.14","NCAPH2"
"449","ENSG00000025772.7","TOMM34"
"450","ENSG00000025796.9","SEC63"
"451","ENSG00000025800.9","KPNA6"
"452","ENSG00000026025.9","VIM"
"453","ENSG00000026103.15","FAS"
"454","ENSG00000026297.11","RNASET2"
"455","ENSG00000026508.12","CD44"
"456","ENSG00000026559.9","KCNG1"
"457","ENSG00000026652.9","AGPAT4"
"458","ENSG00000026751.12","SLAMF7"
"459","ENSG00000026950.12","BTN3A1"
"460","ENSG00000027001.7","MIPEP"
"461","ENSG00000027075.9","PRKCH"
"462","ENSG00000027644.4","INSRR"
"463","ENSG00000027697.8","IFNGR1"
"464","ENSG00000027847.9","B4GALT7"
"465","ENSG00000027869.7","SH2D2A"
"466","ENSG00000028116.12","VRK2"
"467","ENSG00000028137.12","TNFRSF1B"
"468","ENSG00000028203.13","VEZT"
"469","ENSG00000028277.16","POU2F2"
"470","ENSG00000028310.13","BRD9"
"471","ENSG00000028528.10","SNX1"
"472","ENSG00000028839.5","TBPL1"
"473","ENSG00000029153.10","ARNTL2"
"474","ENSG00000029363.11","BCLAF1"
"475","ENSG00000029364.7","SLC39A9"
"476","ENSG00000029534.15","ANK1"
