"","V1","V2"
"4612","ENSG00000116857.12","TMEM9"
"4613","ENSG00000116863.10","ADPRHL2"
"4614","ENSG00000116871.11","MAP7D1"
"4615","ENSG00000116874.7","WARS2"
"4616","ENSG00000116882.10","HAO2"
"4617","ENSG00000116883.8","RP11-268J15.5"
"4618","ENSG00000116885.14","OSCP1"
"4619","ENSG00000116898.7","MRPS15"
"4620","ENSG00000116903.6","EXOC8"
"4621","ENSG00000116906.7","GNPAT"
"4622","ENSG00000116918.9","TSNAX"
"4623","ENSG00000116922.10","C1orf109"
"4624","ENSG00000116954.7","RRAGC"
"4625","ENSG00000116957.8","TBCE"
"4626","ENSG00000116962.10","NID1"
"4627","ENSG00000116977.14","LGALS8"
"4628","ENSG00000116981.3","NT5C1A"
"4629","ENSG00000116983.8","HPCAL4"
"4630","ENSG00000116984.8","MTR"
"4631","ENSG00000116985.6","BMP8B"
"4632","ENSG00000116990.9","MYCL"
"4633","ENSG00000116991.6","SIPA1L2"
"4634","ENSG00000116996.5","ZP4"
"4635","ENSG00000117000.8","RLF"
"4636","ENSG00000117009.7","KMO"
"4637","ENSG00000117010.11","ZNF684"
"4638","ENSG00000117013.10","KCNQ4"
"4639","ENSG00000117016.5","RIMS3"
"4640","ENSG00000117020.12","AKT3"
"4641","ENSG00000117036.7","ETV3"
"4642","ENSG00000117054.9","ACADM"
"4643","ENSG00000117069.10","ST6GALNAC5"
"4644","ENSG00000117090.10","SLAMF1"
"4645","ENSG00000117091.5","CD48"
"4646","ENSG00000117114.15","LPHN2"
"4647","ENSG00000117115.8","PADI2"
"4648","ENSG00000117118.5","SDHB"
"4649","ENSG00000117122.9","MFAP2"
"4650","ENSG00000117133.6","RPF1"
"4651","ENSG00000117139.12","KDM5B"
"4652","ENSG00000117143.9","UAP1"
"4653","ENSG00000117148.6","ACTL8"
"4654","ENSG00000117151.8","CTBS"
"4655","ENSG00000117152.9","RGS4"
"4656","ENSG00000117153.11","KLHL12"
"4657","ENSG00000117154.7","IGSF21"
"4658","ENSG00000117155.12","SSX2IP"
"4659","ENSG00000117174.6","ZNHIT6"
"4660","ENSG00000117215.10","PLA2G2D"
"4661","ENSG00000117222.9","RBBP5"
"4662","ENSG00000117226.7","GBP3"
"4663","ENSG00000117228.9","GBP1"
"4664","ENSG00000117245.8","KIF17"
"4665","ENSG00000117262.14","GPR89A"
"4666","ENSG00000117266.11","CDK18"
"4667","ENSG00000117280.8","RAB7L1"
"4668","ENSG00000117281.11","CD160"
"4669","ENSG00000117289.7","TXNIP"
"4670","ENSG00000117298.10","ECE1"
"4671","ENSG00000117305.10","HMGCL"
"4672","ENSG00000117308.10","GALE"
"4673","ENSG00000117318.8","ID3"
"4674","ENSG00000117322.12","CR2"
"4675","ENSG00000117335.14","CD46"
"4676","ENSG00000117360.8","PRPF3"
"4677","ENSG00000117362.8","APH1A"
"4678","ENSG00000117385.11","LEPRE1"
"4679","ENSG00000117394.15","SLC2A1"
"4680","ENSG00000117395.6","EBNA1BP2"
"4681","ENSG00000117399.9","CDC20"
"4682","ENSG00000117400.10","MPL"
"4683","ENSG00000117407.12","ARTN"
"4684","ENSG00000117408.6","IPO13"
"4685","ENSG00000117410.9","ATP6V0B"
"4686","ENSG00000117411.12","B4GALT2"
"4687","ENSG00000117419.10","ERI3"
"4688","ENSG00000117425.9","PTCH2"
"4689","ENSG00000117448.9","AKR1A1"
"4690","ENSG00000117450.9","PRDX1"
"4691","ENSG00000117461.10","PIK3R3"
"4692","ENSG00000117472.5","TSPAN1"
"4693","ENSG00000117475.9","BLZF1"
"4694","ENSG00000117477.8","CCDC181"
"4695","ENSG00000117479.8","SLC19A2"
"4696","ENSG00000117480.11","FAAH"
"4697","ENSG00000117481.6","NSUN4"
"4698","ENSG00000117500.8","TMED5"
"4699","ENSG00000117501.10","MROH9"
"4700","ENSG00000117505.8","DR1"
"4701","ENSG00000117507.4","FMO6P"
"4702","ENSG00000117519.11","CNN3"
"4703","ENSG00000117523.11","PRRC2C"
"4704","ENSG00000117525.9","F3"
"4705","ENSG00000117528.7","ABCD3"
"4706","ENSG00000117533.10","VAMP4"
"4707","ENSG00000117543.15","DPH5"
"4708","ENSG00000117560.6","FASLG"
"4709","ENSG00000117569.14","PTBP2"
"4710","ENSG00000117586.6","TNFSF4"
"4711","ENSG00000117592.8","PRDX6"
"4712","ENSG00000117593.8","DARS2"
"4713","ENSG00000117594.5","HSD11B1"
"4714","ENSG00000117595.6","IRF6"
"4715","ENSG00000117597.13","DIEXF"
"4716","ENSG00000117598.7","LPPR5"
"4717","ENSG00000117600.8","LPPR4"
"4718","ENSG00000117601.9","SERPINC1"
"4719","ENSG00000117602.7","RCAN3"
"4720","ENSG00000117614.5","SYF2"
"4721","ENSG00000117616.13","C1orf63"
"4722","ENSG00000117620.8","SLC35A3"
"4723","ENSG00000117625.9","RCOR3"
"4724","ENSG00000117632.16","STMN1"
"4725","ENSG00000117640.13","MTFR1L"
"4726","ENSG00000117643.10","MAN1C1"
"4727","ENSG00000117650.8","NEK2"
"4728","ENSG00000117676.9","RPS6KA1"
"4729","ENSG00000117682.12","DHDDS"
"4730","ENSG00000117691.5","NENF"
"4731","ENSG00000117697.10","NSL1"
"4732","ENSG00000117707.11","PROX1"
"4733","ENSG00000117713.13","ARID1A"
"4734","ENSG00000117724.8","CENPF"
"4735","ENSG00000117748.5","RPA2"
"4736","ENSG00000117751.13","PPP1R8"
"4737","ENSG00000117758.9","STX12"
"4738","ENSG00000117791.11","MARC2"
"4739","ENSG00000117834.8","SLC5A9"
"4740","ENSG00000117859.14","OSBPL9"
"4741","ENSG00000117862.7","TXNDC12"
"4742","ENSG00000117868.11","ESYT2"
"4743","ENSG00000117877.6","CD3EAP"
"4744","ENSG00000117899.6","MESDC2"
"4745","ENSG00000117906.9","RCN2"
"4746","ENSG00000117971.7","CHRNB4"
"4747","ENSG00000117983.13","MUC5B"
"4748","ENSG00000117984.8","CTSD"
"4749","ENSG00000118004.13","COLEC11"
"4750","ENSG00000118007.8","STAG1"
"4751","ENSG00000118017.3","A4GNT"
"4752","ENSG00000118046.10","STK11"
"4753","ENSG00000118058.16","KMT2A"
"4754","ENSG00000118094.7","TREH"
"4755","ENSG00000118096.3","IFT46"
"4756","ENSG00000118113.7","MMP8"
"4757","ENSG00000118137.5","APOA1"
"4758","ENSG00000118156.8","ZNF541"
"4759","ENSG00000118160.9","SLC8A2"
"4760","ENSG00000118162.9","KPTN"
"4761","ENSG00000118181.6","RPS25"
"4762","ENSG00000118193.7","KIF14"
"4763","ENSG00000118194.14","TNNT2"
"4764","ENSG00000118197.9","DDX59"
"4765","ENSG00000118200.10","CAMSAP2"
"4766","ENSG00000118217.5","ATF6"
"4767","ENSG00000118231.4","CRYGD"
"4768","ENSG00000118242.11","MREG"
"4769","ENSG00000118245.2","TNP1"
"4770","ENSG00000118246.9","FASTKD2"
"4771","ENSG00000118257.12","NRP2"
"4772","ENSG00000118260.10","CREB1"
"4773","ENSG00000118263.10","KLF7"
"4774","ENSG00000118271.5","TTR"
"4775","ENSG00000118276.7","B4GALT6"
"4776","ENSG00000118292.4","C1orf54"
"4777","ENSG00000118298.6","CA14"
"4778","ENSG00000118307.14","CASC1"
"4779","ENSG00000118308.10","LRMP"
"4780","ENSG00000118322.8","ATP10B"
"4781","ENSG00000118363.7","SPCS2"
"4782","ENSG00000118369.8","USP35"
"4783","ENSG00000118402.5","ELOVL4"
"4784","ENSG00000118407.10","FILIP1"
"4785","ENSG00000118418.10","HMGN3"
"4786","ENSG00000118420.12","UBE3D"
"4787","ENSG00000118432.11","CNR1"
"4788","ENSG00000118434.4","SPACA1"
"4789","ENSG00000118454.8","ANKRD13C"
"4790","ENSG00000118473.17","SGIP1"
"4791","ENSG00000118482.7","PHF3"
"4792","ENSG00000118491.7","ZC2HC1B"
"4793","ENSG00000118492.12","ADGB"
"4794","ENSG00000118495.14","PLAGL1"
"4795","ENSG00000118496.4","FBXO30"
"4796","ENSG00000118503.10","TNFAIP3"
"4797","ENSG00000118507.11","AKAP7"
"4798","ENSG00000118508.4","RAB32"
"4799","ENSG00000118513.14","MYB"
"4800","ENSG00000118514.9","ALDH8A1"
"4801","ENSG00000118515.7","SGK1"
"4802","ENSG00000118518.11","RNF146"
"4803","ENSG00000118520.9","ARG1"
"4804","ENSG00000118523.5","CTGF"
"4805","ENSG00000118526.6","TCF21"
"4806","ENSG00000118557.11","PMFBP1"
"4807","ENSG00000118564.10","FBXL5"
"4808","ENSG00000118579.7","MED28"
"4809","ENSG00000118596.7","SLC16A7"
"4810","ENSG00000118600.7","TMEM5"
"4811","ENSG00000118620.8","ZNF430"
"4812","ENSG00000118640.6","VAMP8"
"4813","ENSG00000118655.4","DCLRE1B"
"4814","ENSG00000118680.8","MYL12B"
"4815","ENSG00000118689.10","FOXO3"
"4816","ENSG00000118690.8","ARMC2"
"4817","ENSG00000118702.5","GHRH"
"4818","ENSG00000118705.12","RPN2"
"4819","ENSG00000118707.5","TGIF2"
"4820","ENSG00000118729.10","CASQ2"
"4821","ENSG00000118733.12","OLFM3"
"4822","ENSG00000118762.3","PKD2"
"4823","ENSG00000118777.6","ABCG2"
"4824","ENSG00000118785.9","SPP1"
"4825","ENSG00000118804.7","FAM47E-STBD1"
"4826","ENSG00000118816.5","CCNI"
"4827","ENSG00000118849.5","RARRES1"
"4828","ENSG00000118855.14","MFSD1"
"4829","ENSG00000118873.11","RAB3GAP2"
"4830","ENSG00000118894.10","FAM86A"
"4831","ENSG00000118898.11","PPL"
"4832","ENSG00000118900.10","UBN1"
"4833","ENSG00000118922.12","KLF12"
"4834","ENSG00000118939.13","UCHL3"
"4835","ENSG00000118946.7","PCDH17"
"4836","ENSG00000118960.8","HS1BP3"
"4837","ENSG00000118961.10","C2orf43"
"4838","ENSG00000118965.10","WDR35"
"4839","ENSG00000118971.3","CCND2"
"4840","ENSG00000118972.1","FGF23"
"4841","ENSG00000118985.10","ELL2"
"4842","ENSG00000118997.9","DNAH7"
"4843","ENSG00000119004.10","CYP20A1"
"4844","ENSG00000119013.4","NDUFB3"
"4845","ENSG00000119041.6","GTF3C3"
"4846","ENSG00000119042.12","SATB2"
"4847","ENSG00000119048.3","UBE2B"
"4848","ENSG00000119121.17","TRPM6"
"4849","ENSG00000119125.12","GDA"
"4850","ENSG00000119138.3","KLF9"
"4851","ENSG00000119139.12","TJP2"
"4852","ENSG00000119147.5","C2orf40"
"4853","ENSG00000119185.8","ITGB1BP1"
"4854","ENSG00000119203.9","CPSF3"
"4855","ENSG00000119227.3","PIGZ"
"4856","ENSG00000119231.6","SENP5"
"4857","ENSG00000119242.4","CCDC92"
"4858","ENSG00000119280.12","C1orf198"
"4859","ENSG00000119283.11","TRIM67"
"4860","ENSG00000119285.6","HEATR1"
"4861","ENSG00000119314.11","PTBP3"
"4862","ENSG00000119318.8","RAD23B"
"4863","ENSG00000119321.4","FKBP15"
"4864","ENSG00000119326.10","CTNNAL1"
"4865","ENSG00000119328.7","FAM206A"
"4866","ENSG00000119333.7","WDR34"
"4867","ENSG00000119335.12","SET"
"4868","ENSG00000119383.15","PPP2R4"
"4869","ENSG00000119392.10","GLE1"
"4870","ENSG00000119396.6","RAB14"
"4871","ENSG00000119397.12","CNTRL"
"4872","ENSG00000119401.10","TRIM32"
"4873","ENSG00000119402.12","FBXW2"
"4874","ENSG00000119403.9","PHF19"
"4875","ENSG00000119408.12","NEK6"
"4876","ENSG00000119411.10","BSPRY"
"4877","ENSG00000119414.7","PPP6C"
"4878","ENSG00000119421.5","NDUFA8"
"4879","ENSG00000119431.5","HDHD3"
"4880","ENSG00000119446.9","RBM18"
"4881","ENSG00000119457.7","SLC46A2"
"4882","ENSG00000119471.10","HSDL2"
"4883","ENSG00000119487.12","MAPKAP1"
"4884","ENSG00000119508.13","NR4A3"
"4885","ENSG00000119509.8","INVS"
"4886","ENSG00000119514.5","GALNT12"
"4887","ENSG00000119522.11","DENND1A"
"4888","ENSG00000119523.8","ALG2"
"4889","ENSG00000119535.13","CSF3R"
"4890","ENSG00000119537.11","KDSR"
"4891","ENSG00000119541.5","VPS4B"
"4892","ENSG00000119547.5","ONECUT2"
"4893","ENSG00000119559.11","C19orf25"
"4894","ENSG00000119574.8","ZBTB45"
"4895","ENSG00000119596.13","YLPM1"
"4896","ENSG00000119599.12","DCAF4"
"4897","ENSG00000119608.8","PROX2"
"4898","ENSG00000119614.2","VSX2"
"4899","ENSG00000119616.7","FCF1"
"4900","ENSG00000119630.9","PGF"
"4901","ENSG00000119632.3","IFI27L2"
"4902","ENSG00000119636.11","CCDC176"
"4903","ENSG00000119638.8","NEK9"
"4904","ENSG00000119640.4","ACYP1"
"4905","ENSG00000119650.8","IFT43"
"4906","ENSG00000119655.4","NPC2"
"4907","ENSG00000119661.10","DNAL1"
"4908","ENSG00000119669.3","IRF2BPL"
"4909","ENSG00000119673.10","ACOT2"
"4910","ENSG00000119681.7","LTBP2"
"4911","ENSG00000119682.12","AREL1"
"4912","ENSG00000119684.11","MLH3"
"4913","ENSG00000119685.15","TTLL5"
"4914","ENSG00000119686.5","FLVCR2"
"4915","ENSG00000119688.16","ABCD4"
"4916","ENSG00000119689.10","DLST"
"4917","ENSG00000119698.7","PPP4R4"
"4918","ENSG00000119699.3","TGFB3"
"4919","ENSG00000119703.12","ZC2HC1C"
"4920","ENSG00000119705.5","SLIRP"
"4921","ENSG00000119707.9","RBM25"
"4922","ENSG00000119711.8","ALDH6A1"
"4923","ENSG00000119714.6","GPR68"
"4924","ENSG00000119715.10","ESRRB"
"4925","ENSG00000119718.6","EIF2B2"
"4926","ENSG00000119720.13","NRDE2"
"4927","ENSG00000119723.11","COQ6"
"4928","ENSG00000119725.13","ZNF410"
"4929","ENSG00000119729.6","RHOQ"
"4930","ENSG00000119737.5","GPR75"
"4931","ENSG00000119760.11","SUPT7L"
"4932","ENSG00000119771.10","KLHL29"
"4933","ENSG00000119772.12","DNMT3A"
"4934","ENSG00000119777.14","TMEM214"
"4935","ENSG00000119778.10","ATAD2B"
"4936","ENSG00000119782.9","FKBP1B"
"4937","ENSG00000119787.9","ATL2"
"4938","ENSG00000119801.8","YPEL5"
"4939","ENSG00000119812.14","FAM98A"
"4940","ENSG00000119820.6","YIPF4"
"4941","ENSG00000119844.10","AFTPH"
"4942","ENSG00000119862.8","LGALSL"
"4943","ENSG00000119865.4","CNRIP1"
"4944","ENSG00000119866.16","BCL11A"
"4945","ENSG00000119878.5","CRIPT"
"4946","ENSG00000119888.6","EPCAM"
"4947","ENSG00000119899.11","SLC17A5"
"4948","ENSG00000119900.7","OGFRL1"
"4949","ENSG00000119906.7","FAM178A"
"4950","ENSG00000119912.11","IDE"
"4951","ENSG00000119913.4","TECTB"
"4952","ENSG00000119915.4","ELOVL3"
"4953","ENSG00000119917.9","IFIT3"
"4954","ENSG00000119919.9","NKX2-3"
"4955","ENSG00000119922.7","IFIT2"
"4956","ENSG00000119927.9","GPAM"
"4957","ENSG00000119929.8","CUTC"
"4958","ENSG00000119938.8","PPP1R3C"
"4959","ENSG00000119943.6","PYROXD2"
"4960","ENSG00000119946.9","CNNM1"
"4961","ENSG00000119950.16","MXI1"
"4962","ENSG00000119953.8","SMNDC1"
"4963","ENSG00000119965.8","C10orf88"
"4964","ENSG00000119969.10","HELLS"
"4965","ENSG00000119973.3","PRLHR"
"4966","ENSG00000119977.16","TCTN3"
"4967","ENSG00000119979.11","FAM45A"
"4968","ENSG00000119986.6","AVPI1"
"4969","ENSG00000120008.11","WDR11"
"4970","ENSG00000120029.8","C10orf76"
"4971","ENSG00000120049.14","KCNIP2"
"4972","ENSG00000120051.10","CCDC147"
"4973","ENSG00000120053.9","GOT1"
"4974","ENSG00000120054.7","CPN1"
"4975","ENSG00000120055.5","C10orf95"
"4976","ENSG00000120057.4","SFRP5"
"4977","ENSG00000120063.5","GNA13"
"4978","ENSG00000120068.5","HOXB8"
"4979","ENSG00000120071.8","KANSL1"
"4980","ENSG00000120075.5","HOXB5"
"4981","ENSG00000120088.10","CRHR1"
"4982","ENSG00000120093.7","HOXB3"
"4983","ENSG00000120094.6","HOXB1"
"4984","ENSG00000120129.5","DUSP1"
"4985","ENSG00000120137.6","PANK3"
"4986","ENSG00000120149.7","MSX2"
"4987","ENSG00000120156.16","TEK"
"4988","ENSG00000120158.7","RCL1"
"4989","ENSG00000120159.7","CAAP1"
"4990","ENSG00000120160.6","EQTN"
"4991","ENSG00000120162.9","MOB3B"
"4992","ENSG00000120210.6","INSL6"
"4993","ENSG00000120211.4","INSL4"
"4994","ENSG00000120215.5","MLANA"
"4995","ENSG00000120217.9","CD274"
"4996","ENSG00000120235.3","IFNA6"
"4997","ENSG00000120242.3","IFNA8"
"4998","ENSG00000120251.14","GRIA2"
"4999","ENSG00000120253.9","NUP43"
"5000","ENSG00000120254.11","MTHFD1L"
"5001","ENSG00000120256.5","LRP11"
"5002","ENSG00000120262.8","CCDC170"
"5003","ENSG00000120265.12","PCMT1"
"5004","ENSG00000120278.10","PLEKHG1"
"5005","ENSG00000120279.6","MYCT1"
"5006","ENSG00000120280.5","CXorf21"
"5007","ENSG00000120289.10","MAGEB4"
"5008","ENSG00000120306.5","CYSTM1"
"5009","ENSG00000120314.14","WDR55"
"5010","ENSG00000120318.11","ARAP3"
"5011","ENSG00000120322.2","PCDHB8"
"5012","ENSG00000120324.4","PCDHB10"
"5013","ENSG00000120327.4","PCDHB14"
"5014","ENSG00000120328.4","PCDHB12"
"5015","ENSG00000120329.4","SLC25A2"
"5016","ENSG00000120332.11","TNN"
"5017","ENSG00000120333.4","MRPS14"
"5018","ENSG00000120334.11","CENPL"
"5019","ENSG00000120337.7","TNFSF18"
"5020","ENSG00000120341.14","SEC16B"
"5021","ENSG00000120370.8","GORAB"
"5022","ENSG00000120436.3","GPR31"
"5023","ENSG00000120437.7","ACAT2"
"5024","ENSG00000120438.7","TCP1"
"5025","ENSG00000120440.9","TTLL2"
"5026","ENSG00000120451.6","SNX19"
"5027","ENSG00000120457.7","KCNJ5"
"5028","ENSG00000120458.5","MSANTD2"
"5029","ENSG00000120471.10","TP53AIP1"
"5030","ENSG00000120498.9","TEX11"
"5031","ENSG00000120500.13","ARR3"
"5032","ENSG00000120509.6","PDZD11"
"5033","ENSG00000120519.10","SLC10A7"
"5034","ENSG00000120526.6","NUDCD1"
"5035","ENSG00000120533.8","ENY2"
"5036","ENSG00000120539.10","MASTL"
"5037","ENSG00000120549.11","KIAA1217"
"5038","ENSG00000120563.4","LYZL1"
"5039","ENSG00000120586.4","MRC1"
"5040","ENSG00000120594.12","PLXDC2"
"5041","ENSG00000120616.11","EPC1"
"5042","ENSG00000120645.7","IQSEC3"
"5043","ENSG00000120647.5","CCDC77"
"5044","ENSG00000120656.7","TAF12"
"5045","ENSG00000120658.8","ENOX1"
"5046","ENSG00000120659.10","TNFSF11"
"5047","ENSG00000120662.11","MTRF1"
"5048","ENSG00000120664.6","SPG20OS"
"5049","ENSG00000120669.11","SOHLH2"
"5050","ENSG00000120675.4","DNAJC15"
"5051","ENSG00000120685.15","PROSER1"
"5052","ENSG00000120686.7","UFM1"
"5053","ENSG00000120688.7","WBP4"
"5054","ENSG00000120690.9","ELF1"
"5055","ENSG00000120693.9","SMAD9"
"5056","ENSG00000120694.15","HSPH1"
"5057","ENSG00000120696.8","KBTBD7"
"5058","ENSG00000120697.4","ALG5"
"5059","ENSG00000120699.8","EXOSC8"
"5060","ENSG00000120705.8","ETF1"
"5061","ENSG00000120708.12","TGFBI"
"5062","ENSG00000120709.6","FAM53C"
"5063","ENSG00000120725.8","SIL1"
"5064","ENSG00000120727.8","PAIP2"
"5065","ENSG00000120729.5","MYOT"
"5066","ENSG00000120733.9","KDM3B"
"5067","ENSG00000120738.7","EGR1"
"5068","ENSG00000120742.6","SERP1"
"5069","ENSG00000120756.8","PLS1"
"5070","ENSG00000120784.11","ZFP30"
"5071","ENSG00000120798.12","NR2C1"
"5072","ENSG00000120800.4","UTP20"
"5073","ENSG00000120802.9","TMPO"
"5074","ENSG00000120805.9","ARL1"
"5075","ENSG00000120820.8","GLT8D2"
"5076","ENSG00000120832.5","MTERFD3"
"5077","ENSG00000120833.9","SOCS2"
"5078","ENSG00000120837.3","NFYB"
"5079","ENSG00000120860.6","CCDC53"
"5080","ENSG00000120868.9","APAF1"
"5081","ENSG00000120875.4","DUSP4"
"5082","ENSG00000120885.15","CLU"
"5083","ENSG00000120889.8","TNFRSF10B"
"5084","ENSG00000120896.9","SORBS3"
"5085","ENSG00000120899.13","PTK2B"
"5086","ENSG00000120903.6","CHRNA2"
"5087","ENSG00000120907.13","ADRA1A"
"5088","ENSG00000120910.10","PPP3CC"
"5089","ENSG00000120913.19","PDLIM2"
"5090","ENSG00000120915.9","EPHX2"
"5091","ENSG00000120925.9","RNF170"
"5092","ENSG00000120937.8","NPPB"
"5093","ENSG00000120942.9","UBIAD1"
"5094","ENSG00000120948.11","TARDBP"
"5095","ENSG00000120949.10","TNFRSF8"
"5096","ENSG00000120952.4","PRAMEF2"
"5097","ENSG00000120963.7","ZNF706"
"5098","ENSG00000120992.13","LYPLA1"
"5099","ENSG00000121005.4","CRISPLD1"
"5100","ENSG00000121022.9","COPS5"
"5101","ENSG00000121039.5","RDH10"
"5102","ENSG00000121053.5","EPX"
"5103","ENSG00000121057.8","AKAP1"
"5104","ENSG00000121058.4","COIL"
"5105","ENSG00000121060.10","TRIM25"
"5106","ENSG00000121064.8","SCPEP1"
"5107","ENSG00000121067.13","SPOP"
"5108","ENSG00000121068.9","TBX2"
"5109","ENSG00000121073.9","SLC35B1"
"5110","ENSG00000121075.5","TBX4"
"5111","ENSG00000121101.11","TEX14"
"5112","ENSG00000121104.3","FAM117A"
"5113","ENSG00000121152.5","NCAPH"
"5114","ENSG00000121207.7","LRAT"
"5115","ENSG00000121210.11","KIAA0922"
"5116","ENSG00000121211.3","MND1"
"5117","ENSG00000121236.15","TRIM6"
"5118","ENSG00000121270.11","ABCC11"
"5119","ENSG00000121274.8","PAPD5"
"5120","ENSG00000121281.8","ADCY7"
"5121","ENSG00000121289.13","CEP89"
"5122","ENSG00000121297.6","TSHZ3"
"5123","ENSG00000121310.12","ECHDC2"
"5124","ENSG00000121314.2","TAS2R8"
"5125","ENSG00000121316.6","PLBD1"
"5126","ENSG00000121318.2","TAS2R10"
"5127","ENSG00000121335.10","PRB2"
"5128","ENSG00000121350.11","PYROXD1"
"5129","ENSG00000121351.3","IAPP"
"5130","ENSG00000121361.3","KCNJ8"
"5131","ENSG00000121377.2","TAS2R7"
"5132","ENSG00000121380.8","BCL2L14"
"5133","ENSG00000121381.2","TAS2R9"
"5134","ENSG00000121388.4","RP11-408E5.4"
"5135","ENSG00000121390.13","PSPC1"
"5136","ENSG00000121406.4","ZNF549"
"5137","ENSG00000121410.7","A1BG"
"5138","ENSG00000121413.8","ZSCAN18"
"5139","ENSG00000121417.9","ZNF211"
"5140","ENSG00000121440.10","PDZRN3"
"5141","ENSG00000121446.13","RGSL1"
"5142","ENSG00000121454.4","LHX4"
"5143","ENSG00000121481.6","RNF2"
"5144","ENSG00000121486.7","TRMT1L"
"5145","ENSG00000121542.7","SEC22A"
"5146","ENSG00000121552.3","CSTA"
"5147","ENSG00000121570.8","DPPA4"
"5148","ENSG00000121577.9","POPDC2"
"5149","ENSG00000121578.8","B4GALT4"
"5150","ENSG00000121579.8","NAA50"
"5151","ENSG00000121594.7","CD80"
"5152","ENSG00000121621.6","KIF18A"
"5153","ENSG00000121634.4","GJA8"
"5154","ENSG00000121644.14","DESI2"
"5155","ENSG00000121653.7","MAPK8IP1"
"5156","ENSG00000121671.7","CRY2"
"5157","ENSG00000121680.11","PEX16"
"5158","ENSG00000121690.5","DEPDC7"
"5159","ENSG00000121691.4","CAT"
"5160","ENSG00000121716.14","PILRB"
"5161","ENSG00000121741.12","ZMYM2"
"5162","ENSG00000121742.11","GJB6"
"5163","ENSG00000121743.3","GJA3"
"5164","ENSG00000121749.11","TBC1D15"
"5165","ENSG00000121753.8","BAI2"
"5166","ENSG00000121764.7","HCRTR1"
"5167","ENSG00000121766.10","ZCCHC17"
"5168","ENSG00000121769.3","FABP3"
"5169","ENSG00000121774.13","KHDRBS1"
"5170","ENSG00000121775.13","TMEM39B"
"5171","ENSG00000121797.9","CCRL2"
"5172","ENSG00000121807.5","CCR2"
"5173","ENSG00000121848.9","RNF115"
"5174","ENSG00000121851.8","POLR3GL"
"5175","ENSG00000121853.3","GHSR"
"5176","ENSG00000121858.6","TNFSF10"
"5177","ENSG00000121864.5","ZNF639"
"5178","ENSG00000121871.3","SLITRK3"
"5179","ENSG00000121879.3","PIK3CA"
"5180","ENSG00000121892.10","PDS5A"
"5181","ENSG00000121895.7","TMEM156"
"5182","ENSG00000121897.9","LIAS"
"5183","ENSG00000121898.8","CPXM2"
"5184","ENSG00000121900.14","TMEM54"
"5185","ENSG00000121903.10","ZSCAN20"
"5186","ENSG00000121904.13","CSMD2"
"5187","ENSG00000121905.5","HPCA"
"5188","ENSG00000121931.11","LRIF1"
"5189","ENSG00000121933.13","ADORA3"
"5190","ENSG00000121940.11","CLCC1"
"5191","ENSG00000121957.8","GPSM2"
"5192","ENSG00000121964.10","GTDC1"
"5193","ENSG00000121966.6","CXCR4"
"5194","ENSG00000121988.13","ZRANB3"
"5195","ENSG00000121989.10","ACVR2A"
"5196","ENSG00000122008.11","POLK"
"5197","ENSG00000122012.9","SV2C"
"5198","ENSG00000122025.10","FLT3"
"5199","ENSG00000122026.6","RPL21"
"5200","ENSG00000122033.10","MTIF3"
"5201","ENSG00000122034.8","GTF3A"
"5202","ENSG00000122035.6","RASL11A"
"5203","ENSG00000122042.9","UBL3"
"5204","ENSG00000122068.8","FYTTD1"
"5205","ENSG00000122085.12","MTERFD2"
"5206","ENSG00000122121.6","XPNPEP2"
"5207","ENSG00000122122.9","SASH3"
"5208","ENSG00000122126.11","OCRL"
"5209","ENSG00000122133.12","PAEP"
"5210","ENSG00000122136.9","OBP2A"
"5211","ENSG00000122140.6","MRPS2"
"5212","ENSG00000122145.10","TBX22"
"5213","ENSG00000122176.10","FMOD"
"5214","ENSG00000122180.4","MYOG"
"5215","ENSG00000122188.8","LAX1"
"5216","ENSG00000122194.14","PLG"
"5217","ENSG00000122203.10","KIAA1191"
"5218","ENSG00000122218.10","COPA"
"5219","ENSG00000122223.8","CD244"
"5220","ENSG00000122224.13","LY9"
"5221","ENSG00000122254.6","HS3ST2"
"5222","ENSG00000122257.14","RBBP6"
"5223","ENSG00000122299.7","ZC3H7A"
"5224","ENSG00000122304.6","PRM2"
"5225","ENSG00000122335.9","SERAC1"
"5226","ENSG00000122359.13","ANXA11"
"5227","ENSG00000122367.15","LDB3"
"5228","ENSG00000122375.7","OPN4"
"5229","ENSG00000122376.7","FAM35A"
"5230","ENSG00000122378.9","FAM213A"
"5231","ENSG00000122386.6","ZNF205"
"5232","ENSG00000122390.13","NAA60"
"5233","ENSG00000122406.8","RPL5"
"5234","ENSG00000122417.11","ODF2L"
"5235","ENSG00000122420.5","PTGFR"
"5236","ENSG00000122435.5","TRMT13"
"5237","ENSG00000122477.8","LRRC39"
"5238","ENSG00000122481.12","RWDD3"
"5239","ENSG00000122482.16","ZNF644"
"5240","ENSG00000122483.13","CCDC18"
"5241","ENSG00000122484.8","RPAP2"
"5242","ENSG00000122490.14","PQLC1"
"5243","ENSG00000122497.13","NBPF14"
"5244","ENSG00000122507.16","BBS9"
"5245","ENSG00000122512.10","PMS2"
"5246","ENSG00000122515.10","ZMIZ2"
"5247","ENSG00000122543.6","OCM"
"5248","ENSG00000122545.13","SEPT7"
"5249","ENSG00000122547.6","EEPD1"
"5250","ENSG00000122548.3","KIAA0087"
